global_step=499, episodic_return=[-500.]
global_step=999, episodic_return=[-500.]
global_step=1499, episodic_return=[-500.]
global_step=1999, episodic_return=[-500.]
global_step=2499, episodic_return=[-500.]
global_step=2999, episodic_return=[-500.]
global_step=3499, episodic_return=[-500.]
global_step=3999, episodic_return=[-500.]
global_step=4499, episodic_return=[-500.]
global_step=4999, episodic_return=[-500.]
global_step=5499, episodic_return=[-500.]
global_step=5999, episodic_return=[-500.]
global_step=6499, episodic_return=[-500.]
global_step=6999, episodic_return=[-500.]
global_step=7499, episodic_return=[-500.]
global_step=7999, episodic_return=[-500.]
global_step=8499, episodic_return=[-500.]
global_step=8999, episodic_return=[-500.]
global_step=9499, episodic_return=[-500.]
global_step=9999, episodic_return=[-500.]
global_step=10499, episodic_return=[-500.]
global_step=10999, episodic_return=[-500.]
global_step=11499, episodic_return=[-500.]
/Users/aida/PycharmProjects/ec523-project/ec523-project/buffers/__init__.py:32: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:278.)
  obs_batch = torch.tensor(obs_batch, device=self.device, dtype=torch.float)
global_step=11999, episodic_return=[-500.]
global_step=12499, episodic_return=[-500.]
global_step=12999, episodic_return=[-500.]
global_step=13499, episodic_return=[-500.]
global_step=13999, episodic_return=[-500.]
global_step=14499, episodic_return=[-500.]
global_step=14999, episodic_return=[-500.]
global_step=15499, episodic_return=[-500.]
global_step=15999, episodic_return=[-500.]
global_step=16499, episodic_return=[-500.]
global_step=16999, episodic_return=[-500.]
global_step=17499, episodic_return=[-500.]
global_step=17999, episodic_return=[-500.]
global_step=18499, episodic_return=[-500.]
global_step=18950, episodic_return=[-450.]
global_step=19450, episodic_return=[-500.]
global_step=19950, episodic_return=[-500.]
global_step=20450, episodic_return=[-500.]
global_step=20950, episodic_return=[-500.]
global_step=21450, episodic_return=[-500.]
global_step=21950, episodic_return=[-500.]
global_step=22450, episodic_return=[-500.]
global_step=22950, episodic_return=[-500.]
global_step=23450, episodic_return=[-500.]
global_step=23950, episodic_return=[-500.]
global_step=24450, episodic_return=[-500.]
global_step=24950, episodic_return=[-500.]
global_step=25450, episodic_return=[-500.]
global_step=25950, episodic_return=[-500.]
global_step=26450, episodic_return=[-500.]
global_step=26950, episodic_return=[-500.]
global_step=27450, episodic_return=[-500.]
global_step=27950, episodic_return=[-500.]
global_step=28345, episodic_return=[-394.]
global_step=28845, episodic_return=[-500.]
global_step=29345, episodic_return=[-500.]
global_step=29845, episodic_return=[-500.]
global_step=30345, episodic_return=[-500.]
global_step=30845, episodic_return=[-500.]
global_step=31345, episodic_return=[-500.]
global_step=31845, episodic_return=[-500.]
global_step=32283, episodic_return=[-437.]
global_step=32699, episodic_return=[-415.]
global_step=33131, episodic_return=[-431.]
global_step=33631, episodic_return=[-500.]
global_step=33892, episodic_return=[-260.]
global_step=34392, episodic_return=[-500.]
global_step=34783, episodic_return=[-390.]
global_step=35204, episodic_return=[-420.]
global_step=35704, episodic_return=[-500.]
global_step=36024, episodic_return=[-319.]
global_step=36403, episodic_return=[-378.]
global_step=36903, episodic_return=[-500.]
global_step=37321, episodic_return=[-417.]
global_step=37726, episodic_return=[-404.]
global_step=38197, episodic_return=[-470.]
global_step=38497, episodic_return=[-299.]
global_step=38910, episodic_return=[-412.]
global_step=39410, episodic_return=[-500.]
global_step=39910, episodic_return=[-500.]
global_step=40290, episodic_return=[-379.]
global_step=40790, episodic_return=[-500.]
global_step=41150, episodic_return=[-359.]
global_step=41615, episodic_return=[-464.]
global_step=42092, episodic_return=[-476.]
global_step=42592, episodic_return=[-500.]
global_step=43092, episodic_return=[-500.]
global_step=43473, episodic_return=[-380.]
global_step=43973, episodic_return=[-500.]
global_step=44261, episodic_return=[-287.]
global_step=44739, episodic_return=[-477.]
global_step=45146, episodic_return=[-406.]
global_step=45579, episodic_return=[-432.]
global_step=45867, episodic_return=[-287.]
global_step=46367, episodic_return=[-500.]
global_step=46743, episodic_return=[-375.]
global_step=47237, episodic_return=[-493.]
global_step=47620, episodic_return=[-382.]
global_step=47931, episodic_return=[-310.]
global_step=48424, episodic_return=[-492.]
global_step=48907, episodic_return=[-482.]
global_step=49300, episodic_return=[-392.]
global_step=49526, episodic_return=[-225.]
global_step=49758, episodic_return=[-231.]
global_step=50242, episodic_return=[-483.]
global_step=50525, episodic_return=[-282.]
global_step=50985, episodic_return=[-459.]
global_step=51291, episodic_return=[-305.]
global_step=51695, episodic_return=[-403.]
global_step=52036, episodic_return=[-340.]
global_step=52434, episodic_return=[-397.]
global_step=52802, episodic_return=[-367.]
global_step=53027, episodic_return=[-224.]
global_step=53415, episodic_return=[-387.]
global_step=53735, episodic_return=[-319.]
global_step=54224, episodic_return=[-488.]
global_step=54458, episodic_return=[-233.]
global_step=54785, episodic_return=[-326.]
global_step=55118, episodic_return=[-332.]
global_step=55335, episodic_return=[-216.]
global_step=55716, episodic_return=[-380.]
global_step=55994, episodic_return=[-277.]
global_step=56316, episodic_return=[-321.]
global_step=56530, episodic_return=[-213.]
global_step=57030, episodic_return=[-500.]
global_step=57486, episodic_return=[-455.]
global_step=57781, episodic_return=[-294.]
global_step=58126, episodic_return=[-344.]
global_step=58450, episodic_return=[-323.]
global_step=58747, episodic_return=[-296.]
global_step=59000, episodic_return=[-252.]
global_step=59260, episodic_return=[-259.]
global_step=59467, episodic_return=[-206.]
global_step=59752, episodic_return=[-284.]
global_step=60105, episodic_return=[-352.]
global_step=60507, episodic_return=[-401.]
global_step=60858, episodic_return=[-350.]
global_step=61195, episodic_return=[-336.]
global_step=61695, episodic_return=[-500.]
global_step=61978, episodic_return=[-282.]
global_step=62206, episodic_return=[-227.]
global_step=62515, episodic_return=[-308.]
global_step=62728, episodic_return=[-212.]
global_step=63009, episodic_return=[-280.]
global_step=63329, episodic_return=[-319.]
global_step=63661, episodic_return=[-331.]
global_step=64103, episodic_return=[-441.]
global_step=64392, episodic_return=[-288.]
global_step=64820, episodic_return=[-427.]
global_step=65077, episodic_return=[-256.]
global_step=65349, episodic_return=[-271.]
global_step=65601, episodic_return=[-251.]
global_step=65916, episodic_return=[-314.]
global_step=66274, episodic_return=[-357.]
global_step=66522, episodic_return=[-247.]
global_step=66920, episodic_return=[-397.]
global_step=67246, episodic_return=[-325.]
global_step=67592, episodic_return=[-345.]
global_step=67867, episodic_return=[-274.]
global_step=68062, episodic_return=[-194.]
global_step=68257, episodic_return=[-194.]
global_step=68448, episodic_return=[-190.]
global_step=68752, episodic_return=[-303.]
global_step=69000, episodic_return=[-247.]
global_step=69228, episodic_return=[-227.]
global_step=69439, episodic_return=[-210.]
global_step=69696, episodic_return=[-256.]
global_step=69892, episodic_return=[-195.]
global_step=70138, episodic_return=[-245.]
global_step=70386, episodic_return=[-247.]
global_step=70723, episodic_return=[-336.]
global_step=70980, episodic_return=[-256.]
global_step=71238, episodic_return=[-257.]
global_step=71529, episodic_return=[-290.]
global_step=71745, episodic_return=[-215.]
global_step=72073, episodic_return=[-327.]
global_step=72386, episodic_return=[-312.]
global_step=72603, episodic_return=[-216.]
global_step=72878, episodic_return=[-274.]
global_step=73069, episodic_return=[-190.]
global_step=73350, episodic_return=[-280.]
global_step=73613, episodic_return=[-262.]
global_step=73870, episodic_return=[-256.]
global_step=74008, episodic_return=[-137.]
global_step=74321, episodic_return=[-312.]
global_step=74563, episodic_return=[-241.]
global_step=74789, episodic_return=[-225.]
global_step=75006, episodic_return=[-216.]
global_step=75227, episodic_return=[-220.]
global_step=75444, episodic_return=[-216.]
global_step=75684, episodic_return=[-239.]
global_step=75930, episodic_return=[-245.]
global_step=76185, episodic_return=[-254.]
global_step=76533, episodic_return=[-347.]
global_step=76745, episodic_return=[-211.]
global_step=76949, episodic_return=[-203.]
global_step=77241, episodic_return=[-291.]
global_step=77441, episodic_return=[-199.]
global_step=77654, episodic_return=[-212.]
global_step=77835, episodic_return=[-180.]
global_step=78052, episodic_return=[-216.]
global_step=78225, episodic_return=[-172.]
global_step=78495, episodic_return=[-269.]
global_step=78802, episodic_return=[-306.]
global_step=78969, episodic_return=[-166.]
global_step=79195, episodic_return=[-225.]
global_step=79455, episodic_return=[-259.]
global_step=79706, episodic_return=[-250.]
global_step=79938, episodic_return=[-231.]
global_step=80130, episodic_return=[-191.]
